RAMQ,JGH
2015-05-18,2015-05-18
2015-06-24,2015-06-24
2015-07-01,2015-07-01
2015-09-07,2015-09-07
2015-10-12,2015-10-12
2015-12-24,2015-12-24
2015-12-25,2015-12-25
2015-12-28,2015-12-28
2015-12-31,2015-12-31
2016-01-01,2016-01-01
2016-01-04,2016-01-04
2016-03-25,2016-03-25
2016-03-28,2016-04-22
2016-05-23,2016-05-23
2016-06-24,2016-06-24
2016-07-01,2016-07-01
2016-09-05,2016-09-05
2016-10-10,2016-10-10
2016-12-23,2016-10-03
2016-12-26,2016-12-26
2016-12-27,2016-12-27
2016-12-30,2016-10-12
2017-01-02,2017-01-02
2017-01-03,2017-01-03
2017-04-14,2017-04-14
2017-04-17,2017-04-11
2017-05-22,2017-05-22
2017-06-23,2017-06-23
2017-06-30,2017-06-30
2017-09-04,2017-09-04
2017-10-09,2017-10-09
2017-12-22,2017-09-21
2017-12-25,2017-12-25
2017-12-26,2017-12-26
2017-12-29,2017-09-29
2018-01-01,2018-01-01
2018-01-02,2018-01-02
2018-03-30,2018-03-30
2018-04-02,2018-04-02
2018-05-21,2018-05-21
2018-06-25,2018-06-25
2018-07-02,2018-07-02
2018-09-03,2018-09-03
2018-10-08,2018-10-08
2018-12-24,2018-08-06
2018-12-25,2018-12-25
2018-12-26,2018-12-26
2018-12-31,2019-02-11
2019-01-01,2019-01-01
2019-01-02,2019-01-02
2019-04-19,2019-04-19
2019-04-22,2019-04-22
2019-05-20,2019-05-20
2019-06-24,2019-06-24
2019-07-01,2019-07-01
2019-09-02,2019-09-02
2019-10-14,2019-10-14
2019-12-24,2019-09-30
2019-12-25,2019-12-25
2019-12-26,2019-12-26
2019-12-31,2019-12-31
2020-01-01,2020-01-01
2020-01-02,2019-10-09
2020-04-10,2020-04-10
2020-04-13,2020-04-09
2020-05-18,2012-05-21
2020-06-24,2012-06-25
2020-07-01,2012-07-02
2020-09-07,2012-09-03
2020-10-12,2012-10-08
2020-12-24,2012-09-17
2020-12-25,2012-12-25
2020-12-28,2012-12-26
2020-12-31,2012-12-31
2021-01-01,2013-01-01
2021-01-04,2012-09-26
2021-04-02,2013-03-29
2021-04-05,2013-03-26
2012-05-21,2013-05-20
2012-06-25,2013-06-24
2012-07-02,2013-07-01
2012-09-03,2013-09-02
2012-10-08,2013-10-14
2012-12-24,2013-09-05
2012-12-25,2013-12-25
2012-12-26,2013-12-26
2012-12-31,2013-12-31
2013-01-01,2014-01-01
2013-01-02,2013-09-13
2013-03-29,2014-04-18
2013-04-01,2014-04-15
2013-05-20,2014-05-19
2013-06-24,2014-06-24
2013-07-01,2014-07-01
2013-09-02,2014-09-01
2013-10-14,2014-10-13
2013-12-24,2014-09-25
2013-12-25,2014-12-25
2013-12-26,2014-12-26
2013-12-31,2014-10-03
2014-01-01,2015-01-01
2014-01-02,2015-01-02
2014-04-18,2015-04-03
2014-04-21,2015-04-06
2014-05-19,
2014-06-24,
2014-07-01,
2014-09-01,
2014-10-13,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-31,
2015-01-01,
2015-01-02,
2015-04-03,
2015-04-06,
